image1,18x24,Oil on panel,2000

image3,36x48,acrylic on canvas,3000

image4,18x24,acrylic on canvas,1800

image5,36x48,acrylic on canvas,2700

image6,16x20,acrylic and color pencil on panel,1500

image7,9x12,Acrylic on canvas,500

image8,28x36,color pencil on paper,950

image9,36x48,acrylic on canvas,3000
